h0 [SinglePointCrossover,BitFlipMutation] 4047
h1 [SinglePointCrossover,LoopMoveOperator] 3940
h2 [SinglePointCrossover,LocalMoveOperator] 3952
h3 [SinglePointCrossover,SegmentMutation] 3980
h4 [SinglePointCrossover,OppositeMoveOperator] 4080
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3997
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3989
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3966
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4011
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3995
h10 [MultiPointsCrossover,BitFlipMutation] 4095
h11 [MultiPointsCrossover,LoopMoveOperator] 3912
h12 [MultiPointsCrossover,LocalMoveOperator] 3970
h13 [MultiPointsCrossover,SegmentMutation] 3981
h14 [MultiPointsCrossover,OppositeMoveOperator] 4085
