h0 [SinglePointCrossover,BitFlipMutation] 2039
h1 [SinglePointCrossover,LoopMoveOperator] 2010
h2 [SinglePointCrossover,LocalMoveOperator] 2019
h3 [SinglePointCrossover,SegmentMutation] 2011
h4 [SinglePointCrossover,OppositeMoveOperator] 2014
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1927
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1966
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 2009
h8 [IntegerTwoPointsCrossover,SegmentMutation] 2059
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1997
h10 [MultiPointsCrossover,BitFlipMutation] 1935
h11 [MultiPointsCrossover,LoopMoveOperator] 1941
h12 [MultiPointsCrossover,LocalMoveOperator] 1915
h13 [MultiPointsCrossover,SegmentMutation] 2056
h14 [MultiPointsCrossover,OppositeMoveOperator] 1952
