h0 [SinglePointCrossover,BitFlipMutation] 4164
h1 [SinglePointCrossover,LoopMoveOperator] 4160
h2 [SinglePointCrossover,LocalMoveOperator] 3978
h3 [SinglePointCrossover,SegmentMutation] 3957
h4 [SinglePointCrossover,OppositeMoveOperator] 4041
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3941
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4101
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3935
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4080
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3992
h10 [MultiPointsCrossover,BitFlipMutation] 4001
h11 [MultiPointsCrossover,LoopMoveOperator] 3927
h12 [MultiPointsCrossover,LocalMoveOperator] 3991
h13 [MultiPointsCrossover,SegmentMutation] 3998
h14 [MultiPointsCrossover,OppositeMoveOperator] 3934
