h0 [SinglePointCrossover,BitFlipMutation] 4014
h1 [SinglePointCrossover,LoopMoveOperator] 3966
h2 [SinglePointCrossover,LocalMoveOperator] 4015
h3 [SinglePointCrossover,SegmentMutation] 3974
h4 [SinglePointCrossover,OppositeMoveOperator] 3833
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3998
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3927
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3962
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3965
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4040
h10 [MultiPointsCrossover,BitFlipMutation] 3922
h11 [MultiPointsCrossover,LoopMoveOperator] 3907
h12 [MultiPointsCrossover,LocalMoveOperator] 4032
h13 [MultiPointsCrossover,SegmentMutation] 4020
h14 [MultiPointsCrossover,OppositeMoveOperator] 3925
