h0 [SinglePointCrossover,BitFlipMutation] 1948
h1 [SinglePointCrossover,LoopMoveOperator] 1961
h2 [SinglePointCrossover,LocalMoveOperator] 1900
h3 [SinglePointCrossover,SegmentMutation] 1917
h4 [SinglePointCrossover,OppositeMoveOperator] 1963
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1955
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1951
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1969
h8 [IntegerTwoPointsCrossover,SegmentMutation] 2009
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2066
h10 [MultiPointsCrossover,BitFlipMutation] 1926
h11 [MultiPointsCrossover,LoopMoveOperator] 1982
h12 [MultiPointsCrossover,LocalMoveOperator] 1930
h13 [MultiPointsCrossover,SegmentMutation] 1992
h14 [MultiPointsCrossover,OppositeMoveOperator] 2031
